year,value,variable,country,unit,source_note
2000,8.4,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2001,8.3,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2002,9.1,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2003,10.0,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2004,10.1,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2005,11.3,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2006,12.7,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2007,14.2,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2008,9.6,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2009,9.2,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2010,10.4,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2011,9.3,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2012,7.7,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2013,7.7,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2014,7.4,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2015,6.9,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2016,6.7,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2017,6.9,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2018,6.6,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2019,6.1,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2020,2.3,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2021,8.1,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2022,3.0,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2023,5.2,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2024,5.0,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
2025,5.0,real_gdp_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 real GDP growth 2013-2025; parent=gongbao_{y}.html
